t,x,y,z
14.02,-7.080015769695222,1.1335840136546818,33.99724248473815
14.030000000000001,-6.280336407315147,1.4885497736796023,33.01545482082328
14.040000000000001,-5.527907103295147,1.738949407675532,32.05170460219752
14.05,-4.827488582186993,1.9038058683546053,31.114803399829697
14.06,-4.181571139152603,2.002058280498568,30.20944407151923
14.07,-3.5905298757830706,2.0508895503681828,29.336963053141645
14.08,-3.0531330443219957,2.061255623241786,28.497816259151776
14.09,-2.5671148244332436,2.043601697253694,27.690997352498833
14.1,-2.1298157129696076,2.0069884958277107,26.915223226452124
14.11,-1.7382014634838767,1.9589689140750095,26.168998456100063
14.120000000000001,-1.3888630862287834,1.9055880187941243,25.450615298350034
14.13,-1.0780165071616947,1.8513837269009885,24.758154020602287
